service_id,date,exception_type
3,20160905,1
1,20160905,2
3,20161010,1
1,20161010,2
3,20161111,1
1,20161111,2
101,20160906,1
101,20160907,1
101,20160908,1
101,20160909,1
101,20160912,1
101,20160913,1
101,20160914,1
101,20160915,1
101,20160916,1
101,20160919,1
101,20160920,1
101,20160921,1
101,20160922,1
101,20160923,1
101,20160926,1
101,20160927,1
101,20160928,1
101,20160929,1
101,20160930,1
101,20161003,1
101,20161004,1
101,20161005,1
101,20161006,1
101,20161007,1
101,20161011,1
101,20161012,1
101,20161013,1
101,20161014,1
101,20161017,1
101,20161018,1
101,20161019,1
101,20161020,1
101,20161021,1
101,20161024,1
101,20161025,1
101,20161026,1
101,20161027,1
101,20161028,1
101,20161031,1
101,20161101,1
101,20161102,1
101,20161103,1
101,20161104,1
101,20161107,1
101,20161108,1
101,20161109,1
101,20161110,1
101,20161114,1
101,20161115,1
101,20161116,1
101,20161117,1
101,20161118,1
101,20161121,1
101,20161122,1
101,20161123,1
101,20161124,1
101,20161125,1
101,20161128,1
101,20161129,1
101,20161130,1
101,20161201,1
101,20161202,1
101,20161205,1
101,20161206,1
101,20161207,1
101,20161208,1
101,20161209,1
101,20161212,1
101,20161213,1
101,20161214,1
101,20161215,1
101,20161216,1
201,20160905,1
201,20161010,1
201,20161111,1
152301,20160905,1
152301,20160909,1
152301,20160916,1
152301,20160923,1
152301,20160930,1
152301,20161007,1
152301,20161010,1
152301,20161014,1
152301,20161021,1
152301,20161028,1
152301,20161104,1
152301,20161111,1
152301,20161118,1
152301,20161125,1
152301,20161202,1
152301,20161209,1
152301,20161216,1
152201,20160906,1
152201,20160907,1
152201,20160908,1
152201,20160912,1
152201,20160913,1
152201,20160914,1
152201,20160915,1
152201,20160919,1
152201,20160920,1
152201,20160921,1
152201,20160922,1
152201,20160926,1
152201,20160927,1
152201,20160928,1
152201,20160929,1
152201,20161003,1
152201,20161004,1
152201,20161005,1
152201,20161006,1
152201,20161011,1
152201,20161012,1
152201,20161013,1
152201,20161017,1
152201,20161018,1
152201,20161019,1
152201,20161020,1
152201,20161024,1
152201,20161025,1
152201,20161026,1
152201,20161027,1
152201,20161031,1
152201,20161101,1
152201,20161102,1
152201,20161103,1
152201,20161107,1
152201,20161108,1
152201,20161109,1
152201,20161110,1
152201,20161114,1
152201,20161115,1
152201,20161116,1
152201,20161117,1
152201,20161121,1
152201,20161122,1
152201,20161123,1
152201,20161124,1
152201,20161128,1
152201,20161129,1
152201,20161130,1
152201,20161201,1
152201,20161205,1
152201,20161206,1
152201,20161207,1
152201,20161208,1
152201,20161212,1
152201,20161213,1
152201,20161214,1
152201,20161215,1
32501,20160909,1
32501,20160916,1
32501,20160923,1
32501,20160930,1
32501,20161007,1
32501,20161014,1
32501,20161021,1
32501,20161028,1
32501,20161104,1
32501,20161118,1
32501,20161125,1
32501,20161202,1
32501,20161209,1
32501,20161216,1
701,20160909,1
701,20160916,1
701,20160923,1
701,20160930,1
701,20161007,1
701,20161014,1
701,20161021,1
701,20161028,1
701,20161104,1
701,20161118,1
701,20161125,1
701,20161202,1
701,20161209,1
701,20161216,1
801,20160905,1
801,20160906,1
801,20160907,1
801,20160908,1
801,20160912,1
801,20160913,1
801,20160914,1
801,20160915,1
801,20160919,1
801,20160920,1
801,20160921,1
801,20160922,1
801,20160926,1
801,20160927,1
801,20160928,1
801,20160929,1
801,20161003,1
801,20161004,1
801,20161005,1
801,20161006,1
801,20161010,1
801,20161011,1
801,20161012,1
801,20161013,1
801,20161017,1
801,20161018,1
801,20161019,1
801,20161020,1
801,20161024,1
801,20161025,1
801,20161026,1
801,20161027,1
801,20161031,1
801,20161101,1
801,20161102,1
801,20161103,1
801,20161107,1
801,20161108,1
801,20161109,1
801,20161110,1
801,20161111,1
801,20161114,1
801,20161115,1
801,20161116,1
801,20161117,1
801,20161121,1
801,20161122,1
801,20161123,1
801,20161124,1
801,20161128,1
801,20161129,1
801,20161130,1
801,20161201,1
801,20161205,1
801,20161206,1
801,20161207,1
801,20161208,1
801,20161212,1
801,20161213,1
801,20161214,1
801,20161215,1
62001,20160906,1
62001,20160907,1
62001,20160908,1
62001,20160909,1
62001,20160912,1
62001,20160913,1
62001,20160914,1
62001,20160915,1
62001,20160916,1
62001,20160919,1
62001,20160920,1
62001,20160921,1
62001,20160922,1
62001,20160923,1
62001,20160926,1
62001,20160927,1
62001,20160928,1
62001,20160929,1
62001,20160930,1
62001,20161003,1
62001,20161004,1
62001,20161005,1
62001,20161006,1
62001,20161007,1
62001,20161011,1
62001,20161012,1
62001,20161013,1
62001,20161014,1
62001,20161017,1
62001,20161018,1
62001,20161019,1
62001,20161020,1
62001,20161021,1
62001,20161024,1
62001,20161025,1
62001,20161026,1
62001,20161027,1
62001,20161028,1
62001,20161031,1
62001,20161101,1
62001,20161102,1
62001,20161103,1
62001,20161104,1
62001,20161107,1
62001,20161108,1
62001,20161109,1
62001,20161110,1
62001,20161114,1
62001,20161115,1
62001,20161116,1
62001,20161117,1
62001,20161118,1
62001,20161121,1
62001,20161122,1
62001,20161123,1
62001,20161124,1
62001,20161125,1
62001,20161128,1
62001,20161129,1
62001,20161130,1
62001,20161201,1
62001,20161202,1
62001,20161205,1
62001,20161206,1
62001,20161207,1
62001,20161208,1
62001,20161209,1
62001,20161212,1
62001,20161213,1
62001,20161214,1
62001,20161215,1
62001,20161216,1
61901,20160905,1
61901,20161010,1
61901,20161111,1
1701,20160906,1
1701,20160907,1
1701,20160908,1
1701,20160909,1
1701,20160912,1
1701,20160913,1
1701,20160914,1
1701,20160915,1
1701,20160916,1
1701,20160919,1
1701,20160920,1
1701,20160921,1
1701,20160922,1
1701,20160923,1
1701,20160926,1
1701,20160927,1
1701,20160928,1
1701,20160929,1
1701,20160930,1
1701,20161003,1
1701,20161004,1
1701,20161005,1
1701,20161006,1
1701,20161007,1
1701,20161011,1
1701,20161012,1
1701,20161013,1
1701,20161014,1
1701,20161017,1
1701,20161018,1
1701,20161019,1
1701,20161020,1
1701,20161021,1
1701,20161024,1
1701,20161025,1
1701,20161026,1
1701,20161027,1
1701,20161028,1
1701,20161031,1
1701,20161101,1
1701,20161102,1
1701,20161103,1
1701,20161104,1
1701,20161107,1
1701,20161108,1
1701,20161109,1
1701,20161110,1
1701,20161114,1
1701,20161115,1
1701,20161116,1
1701,20161117,1
1701,20161118,1
1701,20161121,1
1701,20161122,1
1701,20161123,1
1701,20161124,1
1701,20161125,1
1701,20161128,1
1701,20161129,1
1701,20161130,1
1701,20161201,1
1701,20161202,1
1701,20161205,1
1701,20161206,1
1701,20161207,1
1701,20161208,1
1701,20161209,1
1701,20161212,1
1701,20161213,1
1701,20161214,1
1701,20161215,1
1701,20161216,1
1601,20160905,1
1601,20161010,1
1601,20161111,1
901,20160906,1
901,20160907,1
901,20160908,1
901,20160909,1
901,20160912,1
901,20160913,1
901,20160914,1
901,20160915,1
901,20160916,1
901,20160919,1
901,20160920,1
901,20160921,1
901,20160922,1
901,20160923,1
901,20160926,1
901,20160927,1
901,20160928,1
901,20160929,1
901,20160930,1
901,20161003,1
901,20161004,1
901,20161005,1
901,20161006,1
901,20161007,1
901,20161011,1
901,20161012,1
901,20161013,1
901,20161014,1
901,20161017,1
901,20161018,1
901,20161019,1
901,20161020,1
901,20161021,1
901,20161024,1
901,20161025,1
901,20161026,1
901,20161027,1
901,20161028,1
901,20161031,1
901,20161101,1
901,20161102,1
901,20161103,1
901,20161104,1
901,20161107,1
901,20161108,1
901,20161109,1
901,20161110,1
901,20161114,1
901,20161115,1
901,20161116,1
901,20161117,1
901,20161118,1
901,20161121,1
901,20161122,1
901,20161123,1
901,20161124,1
901,20161125,1
901,20161128,1
901,20161129,1
901,20161130,1
901,20161201,1
901,20161202,1
901,20161205,1
901,20161206,1
901,20161207,1
901,20161208,1
901,20161209,1
901,20161212,1
901,20161213,1
901,20161214,1
901,20161215,1
901,20161216,1
75401,20160905,1
75401,20160909,1
75401,20160916,1
75401,20160923,1
75401,20160930,1
75401,20161007,1
75401,20161010,1
75401,20161014,1
75401,20161021,1
75401,20161028,1
75401,20161104,1
75401,20161111,1
75401,20161118,1
75401,20161125,1
75401,20161202,1
75401,20161209,1
75401,20161216,1
75301,20160906,1
75301,20160907,1
75301,20160908,1
75301,20160912,1
75301,20160913,1
75301,20160914,1
75301,20160915,1
75301,20160919,1
75301,20160920,1
75301,20160921,1
75301,20160922,1
75301,20160926,1
75301,20160927,1
75301,20160928,1
75301,20160929,1
75301,20161003,1
75301,20161004,1
75301,20161005,1
75301,20161006,1
75301,20161011,1
75301,20161012,1
75301,20161013,1
75301,20161017,1
75301,20161018,1
75301,20161019,1
75301,20161020,1
75301,20161024,1
75301,20161025,1
75301,20161026,1
75301,20161027,1
75301,20161031,1
75301,20161101,1
75301,20161102,1
75301,20161103,1
75301,20161107,1
75301,20161108,1
75301,20161109,1
75301,20161110,1
75301,20161114,1
75301,20161115,1
75301,20161116,1
75301,20161117,1
75301,20161121,1
75301,20161122,1
75301,20161123,1
75301,20161124,1
75301,20161128,1
75301,20161129,1
75301,20161130,1
75301,20161201,1
75301,20161205,1
75301,20161206,1
75301,20161207,1
75301,20161208,1
75301,20161212,1
75301,20161213,1
75301,20161214,1
75301,20161215,1
59001,20160906,1
59001,20160907,1
59001,20160908,1
59001,20160909,1
59001,20160913,1
59001,20160914,1
59001,20160915,1
59001,20160916,1
59001,20160920,1
59001,20160921,1
59001,20160922,1
59001,20160923,1
59001,20160927,1
59001,20160928,1
59001,20160929,1
59001,20160930,1
59001,20161004,1
59001,20161005,1
59001,20161006,1
59001,20161007,1
59001,20161011,1
59001,20161012,1
59001,20161013,1
59001,20161014,1
59001,20161018,1
59001,20161019,1
59001,20161020,1
59001,20161021,1
59001,20161025,1
59001,20161026,1
59001,20161027,1
59001,20161028,1
59001,20161101,1
59001,20161102,1
59001,20161103,1
59001,20161104,1
59001,20161108,1
59001,20161109,1
59001,20161110,1
59001,20161115,1
59001,20161116,1
59001,20161117,1
59001,20161118,1
59001,20161122,1
59001,20161123,1
59001,20161124,1
59001,20161125,1
59001,20161129,1
59001,20161130,1
59001,20161201,1
59001,20161202,1
59001,20161206,1
59001,20161207,1
59001,20161208,1
59001,20161209,1
59001,20161213,1
59001,20161214,1
59001,20161215,1
59001,20161216,1
59101,20160905,1
59101,20160912,1
59101,20160919,1
59101,20160926,1
59101,20161003,1
59101,20161010,1
59101,20161017,1
59101,20161024,1
